0	319.936	318.075
2	319.590	318.027
4	319.226	318.182
6	318.724	318.338
8	318.297	318.089
10	317.759	318.093
12	317.340	318.359
14	316.805	318.221
16	316.853	318.009
18	315.981	318.125
20	315.641	317.929
22	315.215	317.875
24	315.035	317.918
26	314.436	317.523
28	314.247	317.472
30	313.539	317.558
32	313.262	317.394
34	312.677	317.490
36	312.706	317.195
38	311.789	317.000
40	311.596	317.306
42	311.229	316.920
44	310.780	316.824
46	310.275	316.454
48	309.869	316.433
50	309.481	316.372
52	309.039	316.018
54	308.793	316.076
56	308.568	315.753
58	307.742	315.616
60	307.209	315.382
62	306.991	315.557
64	306.981	315.078
66	306.065	314.718
68	306.023	314.791
70	305.620	314.271
72	304.878	314.268
74	304.640	313.720
76	304.393	313.588
78	303.686	313.585
80	303.307	313.431
82	302.846	313.106
84	302.377	312.820
86	302.029	312.544
88	301.540	312.117
90	301.326	311.976
92	300.804	311.756
94	300.554	311.722
96	299.885	311.350
98	299.768	310.766
100	299.444	310.807
102	298.621	310.426
104	298.578	310.105
106	298.308	310.018
108	297.546	309.798
110	297.582	309.497
112	296.998	308.942
114	296.434	308.731
116	296.136	308.533
118	295.834	308.334
120	295.368	307.817
122	295.045	307.560
124	294.433	307.119
126	294.205	306.800
128	293.576	306.795
130	293.380	306.567
132	292.871	306.041
134	292.507	305.890
136	292.413	305.478
138	292.003	305.011
140	291.543	304.843
142	290.900	304.700
144	290.629	304.142
146	290.472	304.059
148	289.926	303.106
150	289.867	303.296
152	289.193	302.858
154	288.779	302.471
156	288.320	302.200
158	288.004	301.556
160	287.578	301.488
162	287.325	301.241
164	286.981	301.074
166	286.339	300.438
168	285.876	300.057
170	285.421	299.764
172	285.393	299.638
174	284.773	299.209
176	284.237	298.739
178	284.241	298.553
180	284.179	298.148
182	283.428	297.935
184	283.178	297.339
186	282.689	297.050
188	282.287	296.694
190	282.065	296.187
192	281.510	296.103
194	281.220	295.750
196	280.856	295.363
198	280.335	294.978
200	280.212	294.451
202	279.666	294.249
204	279.208	293.910
206	279.032	293.490
208	278.447	293.234
210	278.217	292.967
212	277.842	292.836
214	277.639	292.227
216	277.179	291.886
218	276.737	291.482
220	276.497	290.851
222	276.217	290.781
224	275.727	290.439
226	275.280	290.445
228	274.717	289.691
230	274.390	289.410
232	274.141	289.004
234	273.732	288.478
236	273.433	288.469
238	273.108	288.054
240	272.818	287.704
242	272.367	287.093
244	272.090	287.083
246	271.667	286.306
248	271.002	286.248
250	270.798	286.131
252	270.559	285.297
254	270.042	285.004
256	269.956	284.747
258	269.739	284.300
260	269.336	283.786
262	268.766	283.672
264	268.666	283.146
266	268.110	283.020
268	267.683	282.454
270	267.288	282.468
272	266.981	281.761
274	266.616	281.474
276	266.348	281.288
278	265.994	280.625
280	265.620	280.488
282	265.334	280.294
284	265.097	279.501
286	264.711	279.414
288	263.997	279.069
290	263.488	278.792
292	263.663	278.134
294	262.970	277.766
296	262.794	277.688
298	262.306	277.299
300	261.865	276.938
302	261.871	276.598
304	261.558	276.090
306	261.013	275.873
308	260.367	275.528
310	260.330	275.023
312	260.128	275.057
314	259.504	274.495
316	259.411	273.893
318	259.040	273.818
320	258.788	273.221
322	258.378	273.133
324	257.874	272.837
326	257.860	272.189
328	257.317	272.105
330	256.998	271.672
332	256.524	271.382
334	256.259	271.193
336	255.856	270.522
338	255.626	270.096
340	255.572	269.726
342	254.773	269.388
344	254.402	269.150
346	254.529	268.865
348	253.943	268.507
350	253.540	268.242
352	253.463	267.772
354	252.883	267.641
356	252.915	267.037
358	252.411	267.138
360	251.904	266.478
362	251.970	265.909
364	251.225	265.532
366	251.097	265.420
368	250.700	264.969
370	250.522	264.766
372	250.232	264.385
374	249.674	263.960
376	249.228	263.501
378	249.083	263.058
380	248.585	262.875
382	248.662	262.729
384	248.055	262.290
386	247.654	261.730
388	247.412	261.602
390	246.857	261.293
392	246.589	260.763
394	246.592	260.578
396	245.990	260.225
398	245.608	259.705
400	245.524	259.781
402	245.299	259.661
404	244.908	259.587
406	244.628	259.428
408	244.045	258.907
410	243.625	258.815
412	243.744	258.873
414	243.152	258.712
416	242.844	258.549
418	242.762	258.885
420	242.329	258.227
422	241.997	258.143
424	241.936	257.947
426	241.198	257.730
428	241.118	257.413
430	240.672	257.400
432	240.389	256.995
434	240.263	256.898
436	239.796	256.682
438	239.487	256.587
440	239.254	256.741
442	238.726	255.931
444	238.342	256.130
446	237.999	255.600
448	237.550	255.584
450	237.842	255.630
452	237.058	255.287
